mes,tur
01/01/1959,132760
01/02/1959,169523
01/03/1959,257013
01/04/1959,181517
01/05/1959,197265
01/06/1959,223459
01/07/1959,610015
01/08/1959,993450
01/09/1959,525184
01/10/1959,229264
01/11/1959,47161
01/12/1959,106571
01/01/1960,120924
01/02/1960,179112
01/03/1960,227640
01/04/1960,259795
01/05/1960,183101
01/06/1960,272491
01/07/1960,612293
01/08/1960,948069
01/09/1960,553582
01/10/1960,220632
01/11/1960,47873
01/12/1960,112549
01/01/1961,142946
01/02/1961,221037
01/03/1961,322923
01/04/1961,259301
01/05/1961,217363
01/06/1961,279309
01/07/1961,425696
01/08/1961,717530
01/09/1961,439223
01/10/1961,198171
01/11/1961,60976
01/12/1961,142484
01/01/1962,165941
01/02/1962,263567
01/03/1962,356895
01/04/1962,344530
01/05/1962,236775
01/06/1962,360126
01/07/1962,694723
01/08/1962,1183484
01/09/1962,728382
01/10/1962,310651
01/11/1962,55981
01/12/1962,144375
01/01/1963,166768
01/02/1963,277051
01/03/1963,387007
01/04/1963,365810
01/05/1963,276014
01/06/1963,445110
01/07/1963,770846
01/08/1963,1350005
01/09/1963,752337
01/10/1963,308244
01/11/1963,54626
01/12/1963,162395
01/01/1964,186533
01/02/1964,297474
01/03/1964,416085
01/04/1964,239558
01/05/1964,329362
01/06/1964,365967
01/07/1964,799165
01/08/1964,1394445
01/09/1964,804558
01/10/1964,327385
01/11/1964,75053
01/12/1964,185362
01/01/1965,219060
01/02/1965,310994
01/03/1965,376441
01/04/1965,387439
01/05/1965,313780
01/06/1965,468168
01/07/1965,962246
01/08/1965,1620459
01/09/1965,816906
01/10/1965,367852
01/11/1965,70673
01/12/1965,197312
01/01/1966,255539
01/02/1966,363794
01/03/1966,458689
01/04/1966,463291
01/05/1966,353464
01/06/1966,523645
01/07/1966,1061104
01/08/1966,1664831
01/09/1966,881748
01/10/1966,426016
01/11/1966,71952
01/12/1966,200683
01/01/1967,311769
01/02/1967,363190
01/03/1967,629261
01/04/1967,306250
01/05/1967,417426
01/06/1967,473602
01/07/1967,875394
01/08/1967,1532723
01/09/1967,927315
01/10/1967,404526
01/11/1967,70316
01/12/1967,244701
01/01/1968,290394
01/02/1968,372920
01/03/1968,419958
01/04/1968,552302
01/05/1968,371422
01/06/1968,576972
01/07/1968,1078910
01/08/1968,1703693
01/09/1968,1160402
01/10/1968,528226
01/11/1968,76206
01/12/1968,276551
01/01/1969,361569
01/02/1969,462452
01/03/1969,596181
01/04/1969,705457
01/05/1969,514212
01/06/1969,595141
01/07/1969,1150346
01/08/1969,1889593
01/09/1969,1395217
01/10/1969,659336
01/11/1969,79476
01/12/1969,298317
01/01/1970,659872
01/02/1970,609641
